txn_id,trade_ref_no,split_seq_no,advisor_sid,month_id,product_id,account_no,trade_dt,proc_dt,credited_amt,pre_split_amt,split_pct,client_rate_bps,std_tier_rate,concession_type,discount_amt,eff_disc_pct,avg_balance_amt,file_key,trade_description,rev_nature,reason_cd,rm_sid,cs_sid,revenue_eligibility,incentive_eligible,days_to_process,posting_month_id,data_source
SMPLTRD00001|1,SMPLTRD00001,1,SMPL001,202604,UMA|FEE,SMPLACCT-1101,2026-04-28 00:00:00,2026-04-29 00:00:00,6030.0,6030.0,1.0,82.0,82.0,None,0.0,0.0,0.0,ace,MONTH M04-2026,RECURRING,__NONE__,SMPLRM1,SMPLCS1,CREDITED,True,1,202604,REAL
SMPLTRD00002|1,SMPLTRD00002,1,SMPL001,202604,UMA|FEE,SMPLACCT-1102,2026-04-28 00:00:00,2026-04-29 00:00:00,6160.0,6160.0,1.0,82.0,82.0,None,0.0,0.0,0.0,ace,MONTH M04-2026,RECURRING,__NONE__,SMPLRM1,SMPLCS1,CREDITED,True,1,202604,REAL
SMPLTRD00003|1,SMPLTRD00003,1,SMPL001,202604,UMA|FEE,SMPLACCT-1103,2026-04-28 00:00:00,2026-04-29 00:00:00,6290.0,6290.0,1.0,82.0,82.0,None,0.0,0.0,0.0,ace,MONTH M04-2026,RECURRING,__NONE__,SMPLRM1,SMPLCS1,CREDITED,True,1,202604,REAL
SMPLTRD00004|1,SMPLTRD00004,1,SMPL001,202604,UMA|FEE,SMPLACCT-1104,2026-04-28 00:00:00,2026-04-29 00:00:00,6420.0,6420.0,1.0,82.0,82.0,None,0.0,0.0,0.0,ace,MONTH M04-2026,RECURRING,__NONE__,SMPLRM1,SMPLCS1,CREDITED,True,1,202604,REAL
SMPLTRD00005|1,SMPLTRD00005,1,SMPL001,202604,UMA|FEE,SMPLACCT-1110,2026-04-15 00:00:00,2026-04-16 00:00:00,1600,1600.0,1.0,82.0,82.0,None,0.0,0.0,0.0,ace,MONTH M04-2026,RECURRING,__NONE__,SMPLRM1,SMPLCS1,CREDITED,True,1,202604,REAL
SMPLTRD00006|1,SMPLTRD00006,1,SMPL001,202604,UMA|FEE,SMPLACCT-1111,2026-04-18 00:00:00,2026-04-19 00:00:00,480,480.0,1.0,82.0,82.0,None,0.0,0.0,0.0,ace,MONTH M04-2026,RECURRING,__NONE__,SMPLRM1,SMPLCS1,CREDITED,True,1,202604,REAL
SMPLTRD00007|1,SMPLTRD00007,1,SMPL001,202604,UMA|PAYS,SMPLACCT-1101,2026-04-28 00:00:00,2026-04-29 00:00:00,20000.0,20000.0,1.0,0.0,0.0,None,0.0,0.0,0.0,ace,PAY TYPE SUMMARY,RECURRING,__NONE__,SMPLRM1,SMPLCS1,CREDITED,True,1,202604,REAL
SMPLTRD00008|1,SMPLTRD00008,1,SMPL001,202604,JPMCAP|FEE,SMPLACCT-1105,2026-04-27 00:00:00,2026-04-28 00:00:00,4000.0,4000.0,1.0,65.0,65.0,None,0.0,0.0,0.0,ace,MONTH M04-2026,RECURRING,__NONE__,SMPLRM1,SMPLCS1,CREDITED,True,1,202604,REAL
SMPLTRD00009|1,SMPLTRD00009,1,SMPL001,202604,ADV|FEE,SMPLACCT-1106,2026-04-27 00:00:00,2026-04-28 00:00:00,3200.0,3200.0,1.0,58.0,58.0,None,0.0,0.0,0.0,ace,MONTH M04-2026,RECURRING,__NONE__,SMPLRM1,SMPLCS1,CREDITED,True,1,202604,REAL
SMPLTRD00010|1,SMPLTRD00010,1,SMPL001,202604,MFT|12B1,SMPLACCT-1107,2026-04-25 00:00:00,2026-04-26 00:00:00,2150,2150.0,1.0,25.0,25.0,None,0.0,0.0,0.0,mf_12b1,MONTH M04-2026,RECURRING,__NONE__,SMPLRM1,SMPLCS1,CREDITED,True,1,202604,REAL
SMPLTRD00011|1,SMPLTRD00011,1,SMPL001,202604,MFT|12B1,SMPLACCT-1107,2026-04-26 00:00:00,2026-04-27 00:00:00,-130,-130.0,1.0,25.0,25.0,None,0.0,0.0,0.0,mf_12b1,MONTH M04-2026 REVERSAL,RECURRING,__NONE__,SMPLRM1,SMPLCS1,CREDITED,True,1,202604,REAL
SMPLTRD00012|1,SMPLTRD00012,1,SMPL001,202604,ANNU|TRL,SMPLACCT-1105,2026-04-23 00:00:00,2026-04-24 00:00:00,-98,-98.0,1.0,0.0,0.0,None,0.0,0.0,0.0,l_a_btr,MONTH M04-2026 ANNUITY REVERSAL,RECURRING,__NONE__,SMPLRM1,SMPLCS1,CREDITED,True,1,202604,REAL
SMPLTRD00013|1,SMPLTRD00013,1,SMPL001,202604,MAC|QFEE,SMPLACCT-1102,2026-04-15 00:00:00,2026-04-16 00:00:00,7000,7000.0,1.0,120.0,120.0,None,0.0,0.0,0.0,ace,QUARTERLY BILLING M04-2026,RECURRING,__NONE__,SMPLRM1,SMPLCS1,CREDITED,True,1,202604,REAL
SMPLTRD00014|1,SMPLTRD00014,1,SMPL001,202604,ANNU|TRL,SMPLACCT-1105,2026-04-22 00:00:00,2026-04-23 00:00:00,650,650.0,1.0,0.0,0.0,None,0.0,0.0,0.0,l_a_btr,ANNUITY TRAIL,RECURRING,__NONE__,SMPLRM1,SMPLCS1,CREDITED,True,1,202604,REAL
SMPLTRD00015|1,SMPLTRD00015,1,SMPL001,202604,MF|COMM,SMPLACCT-1103,2026-04-16 00:00:00,2026-04-17 00:00:00,385,385.0,1.0,0.0,0.0,None,0.0,0.0,0.0,ace,MUTUAL FUND COMMISSION,RECURRING,__NONE__,SMPLRM1,SMPLCS1,CREDITED,True,1,202604,REAL
SMPLTRD00016|1,SMPLTRD00016,1,SMPL001,202604,CASH|CD,SMPLACCT-1108,2026-04-19 00:00:00,2026-04-20 00:00:00,240,240.0,1.0,0.0,0.0,None,0.0,0.0,0.0,ace,BROKERED CD COMMISSION,RECURRING,__NONE__,SMPLRM1,SMPLCS1,CREDITED,True,1,202604,REAL
SMPLTRD00017|1,SMPLTRD00017,1,SMPL001,202604,EQ|COMM,SMPLACCT-1106,2026-04-03 00:00:00,2026-04-04 00:00:00,122.22,122.22,1.0,0.0,0.0,None,0.0,0.0,0.0,ace,EQUITY TRADE COMMISSION,RECURRING,91,SMPLRM1,SMPLCS1,NON_CREDITED,False,1,202604,REAL
SMPLTRD00018|1,SMPLTRD00018,1,SMPL001,202604,EQ|COMM,SMPLACCT-1107,2026-04-05 00:00:00,2026-04-06 00:00:00,163.86,163.86,1.0,0.0,0.0,None,0.0,0.0,0.0,ace,EQUITY TRADE COMMISSION,RECURRING,__NONE__,SMPLRM1,SMPLCS1,CREDITED,True,1,202604,REAL
SMPLTRD00019|1,SMPLTRD00019,1,SMPL001,202604,EQ|COMM,SMPLACCT-1108,2026-04-07 00:00:00,2026-04-08 00:00:00,130.24,130.24,1.0,0.0,0.0,None,0.0,0.0,0.0,ace,EQUITY TRADE COMMISSION,RECURRING,__NONE__,SMPLRM1,SMPLCS1,CREDITED,True,1,202604,REAL
SMPLTRD00020|1,SMPLTRD00020,1,SMPL001,202604,EQ|COMM,SMPLACCT-1106,2026-04-09 00:00:00,2026-04-10 00:00:00,129.78,129.78,1.0,0.0,0.0,None,0.0,0.0,0.0,ace,EQUITY TRADE COMMISSION,RECURRING,__NONE__,SMPLRM1,SMPLCS1,CREDITED,True,1,202604,REAL
SMPLTRD00021|1,SMPLTRD00021,1,SMPL001,202604,EQ|COMM,SMPLACCT-1107,2026-04-11 00:00:00,2026-04-12 00:00:00,151.07,151.07,1.0,0.0,0.0,None,0.0,0.0,0.0,ace,EQUITY TRADE COMMISSION,RECURRING,__NONE__,SMPLRM1,SMPLCS1,CREDITED,True,1,202604,REAL
SMPLTRD00022|1,SMPLTRD00022,1,SMPL001,202604,EQ|COMM,SMPLACCT-1108,2026-04-13 00:00:00,2026-04-14 00:00:00,144.67,144.67,1.0,0.0,0.0,None,0.0,0.0,0.0,ace,EQUITY TRADE COMMISSION,RECURRING,__NONE__,SMPLRM1,SMPLCS1,CREDITED,True,1,202604,REAL
SMPLTRD00023|1,SMPLTRD00023,1,SMPL001,202604,EQ|COMM,SMPLACCT-1106,2026-04-15 00:00:00,2026-04-16 00:00:00,119.22,119.22,1.0,0.0,0.0,None,0.0,0.0,0.0,ace,EQUITY TRADE COMMISSION,RECURRING,__NONE__,SMPLRM1,SMPLCS1,CREDITED,True,1,202604,REAL
SMPLTRD00024|1,SMPLTRD00024,1,SMPL001,202604,EQ|COMM,SMPLACCT-1107,2026-04-17 00:00:00,2026-04-18 00:00:00,138.69,138.69,1.0,0.0,0.0,None,0.0,0.0,0.0,ace,EQUITY TRADE COMMISSION,RECURRING,__NONE__,SMPLRM1,SMPLCS1,CREDITED,True,1,202604,REAL
SMPLTRD00025|1,SMPLTRD00025,1,SMPL001,202604,MF|COMM,SMPLACCT-1103,2026-04-11 00:00:00,2026-04-12 00:00:00,107,107.0,1.0,0.0,0.0,None,0.0,0.0,0.0,ace,MUTUAL FUND COMMISSION BELOW MINIMUM,RECURRING,92,SMPLRM1,SMPLCS1,NON_CREDITED,False,1,202604,REAL
SMPLTRD00026|1,SMPLTRD00026,1,SMPL001,202604,CASH|SWP,SMPLACCT-1108,2026-04-24 00:00:00,2026-04-25 00:00:00,1600.0,1600.0,1.0,18.0,18.0,None,0.0,0.0,1070000,money_mkt,MONTH M04-2026,RECURRING,__NONE__,SMPLRM1,SMPLCS1,CREDITED,True,1,202604,REAL
SMPLTRD00027|1,SMPLTRD00027,1,SMPL001,202605,UMA|FEE,SMPLACCT-1101,2026-05-28 00:00:00,2026-05-29 00:00:00,5755.91,5755.91,1.0,82.0,82.0,None,0.0,0.0,0.0,ace,MONTH M05-2026,RECURRING,__NONE__,SMPLRM1,SMPLCS1,CREDITED,True,1,202605,REAL
SMPLTRD00028|1,SMPLTRD00028,1,SMPL001,202605,UMA|FEE,SMPLACCT-1102,2026-05-28 00:00:00,2026-05-29 00:00:00,5880.0,5880.0,1.0,82.0,82.0,None,0.0,0.0,0.0,ace,MONTH M05-2026,RECURRING,__NONE__,SMPLRM1,SMPLCS1,CREDITED,True,1,202605,REAL
SMPLTRD00029|1,SMPLTRD00029,1,SMPL001,202605,UMA|FEE,SMPLACCT-1103,2026-05-28 00:00:00,2026-05-29 00:00:00,6004.09,6004.09,1.0,82.0,82.0,None,0.0,0.0,0.0,ace,MONTH M05-2026,RECURRING,__NONE__,SMPLRM1,SMPLCS1,CREDITED,True,1,202605,REAL
SMPLTRD00030|1,SMPLTRD00030,1,SMPL001,202605,UMA|FEE,SMPLACCT-1104,2026-05-28 00:00:00,2026-05-29 00:00:00,6128.18,6128.18,1.0,82.0,82.0,None,0.0,0.0,0.0,ace,MONTH M05-2026,RECURRING,__NONE__,SMPLRM1,SMPLCS1,CREDITED,True,1,202605,REAL
SMPLTRD00031|1,SMPLTRD00031,1,SMPL001,202605,UMA|PAYS,SMPLACCT-1101,2026-05-28 00:00:00,2026-05-29 00:00:00,19090.91,19090.91,1.0,0.0,0.0,None,0.0,0.0,0.0,ace,PAY TYPE SUMMARY,RECURRING,__NONE__,SMPLRM1,SMPLCS1,CREDITED,True,1,202605,REAL
SMPLTRD00032|1,SMPLTRD00032,1,SMPL001,202605,JPMCAP|FEE,SMPLACCT-1105,2026-05-27 00:00:00,2026-05-28 00:00:00,3818.18,3818.18,1.0,65.0,65.0,None,0.0,0.0,0.0,ace,MONTH M05-2026,RECURRING,__NONE__,SMPLRM1,SMPLCS1,CREDITED,True,1,202605,REAL
SMPLTRD00033|1,SMPLTRD00033,1,SMPL001,202605,ADV|FEE,SMPLACCT-1106,2026-05-27 00:00:00,2026-05-28 00:00:00,3054.55,3054.55,1.0,58.0,58.0,None,0.0,0.0,0.0,ace,MONTH M05-2026,RECURRING,__NONE__,SMPLRM1,SMPLCS1,CREDITED,True,1,202605,REAL
SMPLTRD00034|1,SMPLTRD00034,1,SMPL001,202605,MFT|12B1,SMPLACCT-1107,2026-05-25 00:00:00,2026-05-26 00:00:00,2150,2150.0,1.0,25.0,25.0,None,0.0,0.0,0.0,mf_12b1,MONTH M05-2026,RECURRING,__NONE__,SMPLRM1,SMPLCS1,CREDITED,True,1,202605,REAL
SMPLTRD00035|1,SMPLTRD00035,1,SMPL001,202605,MFT|12B1,SMPLACCT-1107,2026-05-26 00:00:00,2026-05-27 00:00:00,-130,-130.0,1.0,25.0,25.0,None,0.0,0.0,0.0,mf_12b1,MONTH M05-2026 REVERSAL,RECURRING,__NONE__,SMPLRM1,SMPLCS1,CREDITED,True,1,202605,REAL
SMPLTRD00036|1,SMPLTRD00036,1,SMPL001,202605,MFT|12B1,SMPLACCT-1107,2026-05-26 00:00:00,2026-05-27 00:00:00,-165,-165.0,1.0,25.0,25.0,None,0.0,0.0,0.0,mf_12b1,MONTH M05-2026 REVERSAL,RECURRING,__NONE__,SMPLRM1,SMPLCS1,CREDITED,True,1,202605,REAL
SMPLTRD00037|1,SMPLTRD00037,1,SMPL001,202605,ANNU|TRL,SMPLACCT-1105,2026-05-23 00:00:00,2026-05-24 00:00:00,-98,-98.0,1.0,0.0,0.0,None,0.0,0.0,0.0,l_a_btr,MONTH M05-2026 ANNUITY REVERSAL,RECURRING,__NONE__,SMPLRM1,SMPLCS1,CREDITED,True,1,202605,REAL
SMPLTRD00038|1,SMPLTRD00038,1,SMPL001,202605,ANNU|TRL,SMPLACCT-1105,2026-05-23 00:00:00,2026-05-24 00:00:00,-123,-123.0,1.0,0.0,0.0,None,0.0,0.0,0.0,l_a_btr,MONTH M05-2026 ANNUITY REVERSAL,RECURRING,__NONE__,SMPLRM1,SMPLCS1,CREDITED,True,1,202605,REAL
SMPLTRD00039|1,SMPLTRD00039,1,SMPL001,202605,STRP|SYND,SMPLACCT-1101,2026-05-12 00:00:00,2026-05-13 00:00:00,12300,12300.0,1.0,0.0,0.0,None,0.0,0.0,0.0,twhs,SYNDICATE ALLOCATION,ONE_TIME,__NONE__,SMPLRM1,SMPLCS1,CREDITED,True,1,202605,REAL
SMPLTRD00040|1,SMPLTRD00040,1,SMPL001,202605,STRP|SYND,SMPLACCT-1101,2026-05-13 00:00:00,2026-05-14 00:00:00,13500,13500.0,1.0,0.0,0.0,None,0.0,0.0,0.0,twhs,SYNDICATE ALLOCATION,ONE_TIME,__NONE__,SMPLRM1,SMPLCS1,CREDITED,True,1,202605,REAL
SMPLTRD00041|1,SMPLTRD00041,1,SMPL001,202605,STRP|SYND,SMPLACCT-1101,2026-05-14 00:00:00,2026-05-15 00:00:00,14700,14700.0,1.0,0.0,0.0,None,0.0,0.0,0.0,twhs,SYNDICATE ALLOCATION,ONE_TIME,__NONE__,SMPLRM1,SMPLCS1,CREDITED,True,1,202605,REAL
SMPLTRD00042|1,SMPLTRD00042,1,SMPL001,202605,ANNU|TRL,SMPLACCT-1105,2026-05-22 00:00:00,2026-05-23 00:00:00,650,650.0,1.0,0.0,0.0,None,0.0,0.0,0.0,l_a_btr,ANNUITY TRAIL,RECURRING,__NONE__,SMPLRM1,SMPLCS1,CREDITED,True,1,202605,REAL
SMPLTRD00043|1,SMPLTRD00043,1,SMPL001,202605,MF|COMM,SMPLACCT-1103,2026-05-16 00:00:00,2026-05-17 00:00:00,385,385.0,1.0,0.0,0.0,None,0.0,0.0,0.0,ace,MUTUAL FUND COMMISSION,RECURRING,__NONE__,SMPLRM1,SMPLCS1,CREDITED,True,1,202605,REAL
SMPLTRD00044|1,SMPLTRD00044,1,SMPL001,202605,CASH|CD,SMPLACCT-1108,2026-05-19 00:00:00,2026-05-20 00:00:00,240,240.0,1.0,0.0,0.0,None,0.0,0.0,0.0,ace,BROKERED CD COMMISSION,RECURRING,__NONE__,SMPLRM1,SMPLCS1,CREDITED,True,1,202605,REAL
SMPLTRD00045|1,SMPLTRD00045,1,SMPL001,202605,EQ|COMM,SMPLACCT-1106,2026-05-03 00:00:00,2026-05-04 00:00:00,125.51,125.51,1.0,0.0,0.0,None,0.0,0.0,0.0,ace,EQUITY TRADE COMMISSION,RECURRING,91,SMPLRM1,SMPLCS1,NON_CREDITED,False,1,202605,REAL
SMPLTRD00046|1,SMPLTRD00046,1,SMPL001,202605,EQ|COMM,SMPLACCT-1107,2026-05-05 00:00:00,2026-05-06 00:00:00,119.73,119.73,1.0,0.0,0.0,None,0.0,0.0,0.0,ace,EQUITY TRADE COMMISSION,RECURRING,__NONE__,SMPLRM1,SMPLCS1,CREDITED,True,1,202605,REAL
